                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 2.1955,                0.99566,                0.83473,                0.76673,                0.55325,                0.61026,                0.22994,                 2.1315,                 1.2221,                0.78829,              0.0004754,              0.0004754,              0.0004754
                     79,                  2.222,                 1.0543,                0.85663,                0.81177,                0.53465,                0.60825,                0.24443,                 2.0061,                 1.2486,                0.76711,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.1526,                 1.0818,                0.84508,                0.76012,                0.54455,                0.62374,                0.23966,                 2.0225,                 1.2856,                0.76626,              0.0004358,              0.0004358,              0.0004358
                     81,                  2.141,                 1.0379,                 0.8475,                0.78693,                0.56436,                0.59805,                0.24819,                 1.8928,                  1.331,                0.75603,               0.000416,               0.000416,               0.000416
                     82,                 2.2349,                 1.0527,                0.85066,                0.76389,                0.54455,                0.62952,                0.24833,                 2.0759,                 1.2405,                0.76304,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.1252,                 1.1006,                0.83827,                0.74533,                0.49505,                0.61732,                0.23912,                 2.0776,                 1.2029,                0.77802,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.1974,                 1.0343,                0.84154,                  0.689,                0.52475,                0.61695,                0.25419,                  1.952,                 1.0791,                0.78007,              0.0003566,              0.0003566,              0.0003566
                     85,                 2.1391,                 1.1546,                0.83153,                0.75743,                0.43564,                0.58589,                0.23918,                 2.0512,                 1.2516,                0.78908,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.1818,                 1.1435,                0.85252,                0.53685,                0.49505,                0.53228,                0.22347,                 2.1406,                 1.2144,                0.78863,               0.000317,               0.000317,               0.000317
                     87,                 2.1201,                 1.0458,                 0.8447,                0.58269,                0.51485,                0.53178,                0.21547,                 2.0752,                 1.1781,                 0.7833,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.1045,                 1.0469,                0.84604,                0.69422,                0.46535,                0.55979,                0.24577,                 1.9944,                  1.278,                0.76145,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.1176,                  1.009,                0.84595,                0.64725,                0.48515,                0.58708,                0.25755,                 1.9449,                  1.286,                0.76788,              0.0002576,              0.0002576,              0.0002576
                     90,                 2.1858,                 1.0782,                0.85842,                0.74853,                 0.4421,                0.54698,                0.23473,                 1.8992,                 1.3533,                0.76609,              0.0002378,              0.0002378,              0.0002378
                     91,                 2.0947,                  1.151,                0.86531,                0.76607,                0.51882,                0.65181,                0.26578,                 1.9603,                 1.2618,                0.77366,               0.000218,               0.000218,               0.000218
                     92,                 2.2595,                 1.1133,                0.85425,                0.74536,                0.46373,                 0.5656,                0.23335,                 2.1283,                 1.3682,                0.76225,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.1246,                 1.0551,                0.82924,                0.75161,                0.47525,                0.56121,                0.24067,                 1.9045,                 1.3338,                0.74793,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.1005,                 1.0252,                  0.859,                0.75919,                0.54455,                0.59019,                0.24875,                 1.9738,                 1.2534,                0.75936,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.0223,                0.86173,                 0.8434,                0.75757,                0.49503,                0.56142,                0.25213,                  1.999,                 1.2917,                0.76127,              0.0001388,              0.0001388,              0.0001388
                     96,                 2.0737,                0.99182,                0.86312,                  0.722,                0.43716,                 0.5394,                0.23589,                  1.969,                 1.3487,                0.74689,               0.000119,               0.000119,               0.000119
                     97,                 1.9451,                0.99709,                0.85248,                0.73673,                0.47525,                0.55591,                0.25227,                 1.8825,                 1.2933,                0.74065,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.9287,                  1.015,                 0.8388,                0.74429,                0.48515,                0.55744,                0.25598,                 1.8397,                 1.2628,                 0.7415,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.9161,                 0.8891,                0.87005,                0.76599,                0.49505,                0.58987,                0.25828,                 1.8471,                 1.2424,                0.74749,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.9918,                0.93515,                0.84734,                0.77086,                0.49965,                0.59203,                0.25798,                 1.9201,                 1.2485,                0.75174,               3.98e-05,               3.98e-05,               3.98e-05
